team_id,team_url,fifa_version,fifa_update,fifa_update_date,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
116011,/team/116011/tottenham-w/230009,23,9,2023-01-13,Tottenham W,2216,Women's Super League,1,14,England,78,77,75,77,37524186,Tottenham Hotspur Stadium,116009,3,2,,1000000,26.55,26.84,235594,265262,235594,265252,265262,265262,266598,267293,Balanced,61,51,,,,,,Fast Build Up,Forward Runs,51,3,3,3,,,,,,,,
116037,/team/116037/montpellier-w/230009,23,9,2023-01-13,Montpellier W,2218,Feminine Division 1,1,18,France,78,77,78,78,529478,469,116038,3,2,,1000000,25.73,25.3,231347,265843,265843,265843,265843,265843,265843,265843,Balanced,51,51,,,,,,Balanced,Balanced,51,6,3,3,,,,,,,,
113007,/team/113007/norway-w/230009,23,9,2023-01-13,Norway W,2136,World Cup Women,,36,Norway,77,79,80,74,37357800,Eastpoint Arena (Football Ground),113008,5,,,,26.0,25.17,227282,227323,227323,227323,227323,227323,233330,227323,Pressure On Heavy Touch,51,61,,,,,,Fast Build Up,Forward Runs,51,5,3,3,,,,,,,,
113012,/team/113012/spain-w/230009,23,9,2023-01-13,Spain W,2136,World Cup Women,,45,Spain,77,79,77,77,35279765,Wanda Metropolitano,113003,4,,,,24.64,23.0,227780,233155,233155,233155,233155,233244,233155,233155,Press After Possession Loss,51,71,,,,,,Balanced,Balanced,61,4,3,3,,,,,,,,
116015,/team/116015/aston-villa-w/230009,23,9,2023-01-13,Aston Villa W,2216,Women's Super League,1,14,England,77,79,77,77,32431159,Villa Park,116020,3,2,,1000000,25.36,25.48,245875,227353,265332,227353,265332,235657,227353,227353,Balanced,51,51,,,,,,Balanced,Balanced,51,3,3,3,,,,,,,,
116036,/team/116036/fleury-91-w/230009,23,9,2023-01-13,Fleury 91 W,2218,Feminine Division 1,1,18,France,77,74,79,77,94303,469,116035,3,2,,1000000,24.73,25.04,241548,241548,241548,264971,241548,227351,241548,227351,Balanced,51,41,,,,,,Long Ball,Direct Passing,61,3,3,3,,,,,,,,
113984,/team/113984/scotland-w/230009,23,9,2023-01-13,Scotland W,2136,World Cup Women,,42,Scotland,76,76,77,75,37296295,Stadion Olympik,113002,2,,,,27.45,27.74,245875,245879,245879,245879,245879,245885,245882,245879,Balanced,61,41,,,,,,Balanced,Balanced,71,3,3,3,,,,,,,,
116014,/team/116014/west-ham-w/230009,23,9,2023-01-13,West Ham W,2216,Women's Super League,1,14,England,76,77,75,77,37554044,London Stadium,116011,3,2,,1000000,27.09,24.26,265300,227348,,227348,,265300,245889,245889,Balanced,51,51,,,,,,Balanced,Balanced,51,3,3,3,,,,,,,,
113010,/team/113010/mexico-w/230009,23,9,2023-01-13,Mexico W,2136,World Cup Women,,83,Mexico,75,77,74,73,37430277,Stadion Olympik,113009,3,,,,26.36,24.7,227466,227466,227466,227452,227466,227452,227466,227466,Pressure On Heavy Touch,61,71,,,,,,Balanced,Balanced,61,4,3,3,,,,,,,,
113394,/team/113394/belgium-w/230009,23,9,2023-01-13,Belgium W,2136,World Cup Women,,7,Belgium,75,77,76,73,37350128,Town Park,113011,1,,,,27.36,25.26,261781,261785,261785,261781,261785,261781,261781,261781,Balanced,51,51,,,,,,Fast Build Up,Forward Runs,61,4,3,3,,,,,,,,
116013,/team/116013/brighton-hove-albion-w/230009,23,9,2023-01-13,Brighton & Hove Albion W,2216,Women's Super League,1,14,England,75,75,74,76,,The Amex Stadium,116014,3,2,,1000000,26.36,24.38,265296,265217,265336,265217,247477,265283,247477,265217,Balanced,51,41,,,,,,Balanced,Balanced,41,3,3,3,,,,,,,,
116016,/team/116016/everton-w/230009,23,9,2023-01-13,Everton W,2216,Women's Super League,1,14,England,75,77,75,74,37265116,Goodison Park,116343,3,2,,1000000,24.64,24.29,246968,263966,265334,263966,245443,263966,245443,271347,Balanced,61,61,,,,,,Fast Build Up,Forward Runs,61,3,3,3,,,,,,,,
116018,/team/116018/reading-w/230009,23,9,2023-01-13,Reading W,2216,Women's Super League,1,14,England,75,76,74,75,32431137,Molton Road (Sheldon Stadium),116014,3,2,,1000000,25.91,26.57,265347,265352,265352,265348,265352,227251,265348,265352,Balanced,41,41,,,,,,Long Ball,Direct Passing,51,3,3,3,,,,,,,,
116040,/team/116040/stade-de-reims-w/230009,23,9,2023-01-13,Stade de Reims W,2218,Feminine Division 1,1,18,France,75,76,75,74,37296301,468,116037,3,2,,1000000,21.82,20.52,265897,265901,265901,265901,265901,265901,265901,265901,Pressure On Heavy Touch,51,51,,,,,,Balanced,Balanced,51,5,3,3,,,,,,,,
116428,/team/116428/iceland-w/230009,23,9,2023-01-13,Iceland W,2136,World Cup Women,,24,Iceland,75,74,76,73,37265250,Euro Arena,113007,1,,,,26.09,25.7,241844,269664,264886,269663,269664,241844,269663,269664,Balanced,51,51,,,,,,Long Ball,Direct Passing,51,3,3,3,,,,,,,,
113001,/team/113001/china-w/230009,23,9,2023-01-13,China W,2136,World Cup Women,,155,China PR,74,79,74,74,37614418,Stadion Olympik,113002,5,,,,27.18,27.0,226917,226917,226917,226917,226917,226360,226917,226932,Balanced,41,51,,,,,,Balanced,Balanced,61,3,3,3,,,,,,,,
116038,/team/116038/bordeaux-w/230009,23,9,2023-01-13,Bordeaux W,2218,Feminine Division 1,1,18,France,74,75,74,74,19282261,Town Park,116041,3,2,,1000000,24.64,23.55,265855,265861,265861,265860,265861,267673,265860,265861,Pressure On Heavy Touch,51,61,,,,,,Balanced,Balanced,51,3,3,3,,,,,,,,
116039,/team/116039/dijon-w/230009,23,9,2023-01-13,Dijon W,2218,Feminine Division 1,1,18,France,74,73,74,74,37578659,468,116040,3,2,,1000000,24.91,24.75,265875,265878,265878,265878,265878,265877,265878,265878,Balanced,51,51,,,,,,Fast Build Up,Forward Runs,51,4,3,3,,,,,,,,
116042,/team/116042/guingamp-w/230009,23,9,2023-01-13,Guingamp W,2218,Feminine Division 1,1,18,France,74,76,73,74,94451,469,116041,3,2,,1000000,23.91,22.6,267661,267661,267661,267661,267661,231349,267661,267661,Balanced,51,51,,,,,,Fast Build Up,Forward Runs,51,3,3,3,,,,,,,,
115682,/team/115682/portugal-w/230009,23,9,2023-01-13,Portugal W,2136,World Cup Women,,38,Portugal,73,74,73,73,35279766,Waldstadion (Fussballstadion),113012,1,,,,26.73,26.04,261830,261837,261833,261837,261837,261837,261837,261837,Balanced,51,61,,,,,,Balanced,Balanced,61,4,3,3,,,,,,,,
116343,/team/116343/liverpool-w/230009,23,9,2023-01-13,Liverpool W,2216,Women's Super League,1,14,England,73,76,72,73,32431158,Anfield,116016,3,2,,1000000,28.91,26.39,266913,266916,266916,242784,266916,226350,242784,266916,Pressure On Heavy Touch,51,51,,,,,,Fast Build Up,Forward Runs,51,3,3,3,,,,,,,,
116416,/team/116416/le-havre-w/230009,23,9,2023-01-13,Le Havre W,2218,Feminine Division 1,1,18,France,73,75,72,72,37615657,Waldstadion (Fussballstadion),116042,3,2,,1000000,25.91,25.5,269208,270049,270049,270049,270049,269208,270049,270049,Balanced,51,51,,,,,,Balanced,Balanced,51,3,3,3,,,,,,,,
113996,/team/113996/argentina-w/230009,23,9,2023-01-13,Argentina W,2136,World Cup Women,,52,Argentina,72,78,70,72,37612238,El Monumento (Estadio Latino),112999,2,,,,29.36,27.57,246355,269679,246357,246359,269679,246356,246359,269679,Press After Possession Loss,41,61,,,,,,Fast Build Up,Forward Runs,61,3,3,3,,,,,,,,
116020,/team/116020/leicester-city-w/230009,23,9,2023-01-13,Leicester City W,2216,Women's Super League,1,14,England,72,74,73,72,37342910,King Power Stadium,116015,3,2,,1000000,25.55,24.52,265281,265225,265225,265225,265225,265225,267501,265225,Balanced,51,51,,,,,,Long Ball,Direct Passing,41,3,3,3,,,,,,,,
116041,/team/116041/soyaux-w/230009,23,9,2023-01-13,Soyaux W,2218,Feminine Division 1,1,18,France,71,72,72,69,37667852,468,116038,3,2,,1000000,24.45,24.67,265924,265915,265915,265915,265915,265915,265915,265915,Pressure On Heavy Touch,51,41,,,,,,Long Ball,Direct Passing,51,4,3,3,,,,,,,,
116386,/team/116386/rodez-w/230009,23,9,2023-01-13,Rodez W,2218,Feminine Division 1,1,18,France,70,72,70,69,37617776,Molton Road (Sheldon Stadium),116416,3,2,,1000000,24.91,23.8,268649,268659,268659,268659,268659,268649,265887,268659,Balanced,51,51,,,,,,Long Ball,Direct Passing,51,4,3,3,,,,,,,,
113009,/team/113009/united-states-w/230008,23,8,2022-12-17,United States W,2136,World Cup Women,,95,United States,85,87,84,83,37350129,Lumen Field,113000,10,,,,28.64,28.57,226177,231432,231432,231432,231432,226301,232073,232073,Balanced,41,51,,,,,,Slow Build Up,Possession,41,6,3,3,,,,,,,,
116033,/team/116033/lyon-w/230008,23,8,2022-12-17,Lyon W,2218,Feminine Division 1,1,18,France,85,84,84,84,35304616,Groupama Stadium,116034,3,2,,1000000,28.18,25.43,227316,231432,231432,231432,231432,227331,227331,265674,Press After Possession Loss,61,81,,,,,,Fast Build Up,Forward Runs,61,6,3,3,,,,,,,,
113002,/team/113002/england-w/230008,23,8,2022-12-17,England W,2136,World Cup Women,,14,England,84,82,85,85,35280567,Wembley Stadium,113004,6,,,,26.36,25.61,246426,245802,246426,257008,245802,243404,245802,257008,Press After Possession Loss,71,61,,,,,,Fast Build Up,Forward Runs,71,4,3,3,,,,,,,,
113003,/team/113003/france-w/230008,23,8,2022-12-17,France W,2136,World Cup Women,,18,France,84,86,83,86,464820,Orange Vélodrome,113004,7,,,,27.0,26.09,227316,227344,227344,227344,227344,227316,227344,227344,Pressure On Heavy Touch,61,61,,,,,,Fast Build Up,Forward Runs,61,6,3,3,,,,,,,,
113004,/team/113004/germany-w/230008,23,8,2022-12-17,Germany W,2136,World Cup Women,,21,Germany,84,84,84,80,35280557,Molton Road (Sheldon Stadium),113002,10,,,,25.18,25.7,226302,233837,233837,233837,233837,227337,227337,233838,Press After Possession Loss,61,61,,,,,,Balanced,Balanced,61,4,3,3,,,,,,,,
116034,/team/116034/paris-sg-w/230008,23,8,2022-12-17,Paris SG W,2218,Feminine Division 1,1,18,France,84,85,80,83,37654887,Parc des Princes,116033,3,2,,1000000,26.82,26.12,227361,233748,233748,233748,233748,227361,233748,261733,Press After Possession Loss,61,81,,,,,,Fast Build Up,Forward Runs,61,7,3,3,,,,,,,,
116009,/team/116009/arsenal-w/230008,23,8,2022-12-17,Arsenal W,2216,Women's Super League,1,14,England,83,84,84,80,15434001,Emirates Stadium,116010,3,2,,1000000,26.0,26.33,265239,227119,227119,227119,227119,233746,227119,227119,Press After Possession Loss,61,71,,,,,,Fast Build Up,Forward Runs,81,3,3,3,,,,,,,,
116010,/team/116010/chelsea-w/230008,23,8,2022-12-17,Chelsea W,2216,Women's Super League,1,14,England,83,83,83,84,32431129,Stamford Bridge,116009,3,2,,1000000,27.0,25.41,226998,227323,227383,227323,227323,227323,245882,245882,Press After Possession Loss,61,71,,,,,,Fast Build Up,Forward Runs,81,5,3,3,,,,,,,,
113000,/team/113000/canada-w/230008,23,8,2022-12-17,Canada W,2136,World Cup Women,,70,Canada,81,78,82,82,37428117,BC Place Stadium,113009,7,,,,28.55,27.22,226359,227381,227381,227387,227381,227392,227381,227387,Balanced,51,51,,,,,,Balanced,Balanced,61,3,3,3,,,,,,,,
113008,/team/113008/sweden-w/230008,23,8,2022-12-17,Sweden W,2136,World Cup Women,,46,Sweden,81,82,79,82,35279752,Stadion Neder,113007,8,,,,29.18,28.48,226975,226987,226998,226987,226987,226987,226987,266939,Press After Possession Loss,61,51,,,,,,Balanced,Balanced,71,4,3,3,,,,,,,,
116035,/team/116035/paris-w/230008,23,8,2022-12-17,Paris W,2218,Feminine Division 1,1,18,France,81,83,82,80,26313202,Euro Arena,116034,3,2,,1000000,28.0,24.32,227326,227326,241546,227326,227326,227326,227326,227326,Pressure On Heavy Touch,51,51,,,,,,Slow Build Up,Possession,51,6,3,3,,,,,,,,
113011,/team/113011/netherlands-w/230008,23,8,2022-12-17,Netherlands W,2136,World Cup Women,,34,Netherlands,80,85,81,78,455803,Johan Cruijff ArenA,113004,8,,,,26.18,25.17,233747,233747,233747,233747,233747,233747,233747,233747,Pressure On Heavy Touch,51,61,,,,,,Balanced,Balanced,51,5,3,3,,,,,,,,
116012,/team/116012/manchester-united-w/230008,23,8,2022-12-17,Manchester United W,2216,Women's Super League,1,14,England,80,79,81,80,37524025,Old Trafford,116017,3,2,,1000000,25.45,26.26,265273,265273,247797,265273,265273,265273,265273,265273,Press After Possession Loss,61,61,,,,,,Slow Build Up,Possession,71,3,3,3,,,,,,,,
116017,/team/116017/manchester-city-w/230008,23,8,2022-12-17,Manchester City W,2216,Women's Super League,1,14,England,80,82,80,79,2079,466,116012,3,2,,1000000,23.82,24.48,227254,257001,227254,257001,227254,227254,257001,227254,Pressure On Heavy Touch,51,61,,,,,,Fast Build Up,Forward Runs,61,4,3,3,,,,,,,,
112999,/team/112999/brazil-w/230008,23,8,2022-12-17,Brazil W,2136,World Cup Women,,54,Brazil,79,82,79,79,37469773,O Dromo,113009,8,,,,31.09,29.83,245205,245206,245188,245206,245177,245205,245186,245177,Balanced,51,51,,,,,,Balanced,Balanced,61,4,3,3,,,,,,,,
116037,/team/116037/montpellier-w/230008,23,8,2022-12-17,Montpellier W,2218,Feminine Division 1,1,18,France,78,77,78,78,529478,469,116038,3,2,,1000000,25.73,25.3,231347,265843,265843,265843,265843,265843,265843,265843,Balanced,51,51,,,,,,Balanced,Balanced,51,6,3,3,,,,,,,,
113007,/team/113007/norway-w/230008,23,8,2022-12-17,Norway W,2136,World Cup Women,,36,Norway,77,83,79,74,37357800,Eastpoint Arena (Football Ground),113008,5,,,,26.0,25.17,227282,227323,227323,227323,227323,227323,233330,227323,Pressure On Heavy Touch,51,61,,,,,,Fast Build Up,Forward Runs,51,5,3,3,,,,,,,,
113012,/team/113012/spain-w/230008,23,8,2022-12-17,Spain W,2136,World Cup Women,,45,Spain,77,79,77,77,35279765,Wanda Metropolitano,113003,4,,,,24.64,23.0,227780,233155,233155,233155,233155,233244,233155,233155,Press After Possession Loss,51,71,,,,,,Balanced,Balanced,61,4,3,3,,,,,,,,
116011,/team/116011/tottenham-w/230008,23,8,2022-12-17,Tottenham W,2216,Women's Super League,1,14,England,77,77,75,77,37524186,Tottenham Hotspur Stadium,116009,3,2,,1000000,26.55,26.48,235594,265262,235594,265252,265262,265262,266598,267293,Balanced,61,51,,,,,,Fast Build Up,Forward Runs,51,3,3,3,,,,,,,,
116015,/team/116015/aston-villa-w/230008,23,8,2022-12-17,Aston Villa W,2216,Women's Super League,1,14,England,77,79,76,78,32431159,Villa Park,116020,3,2,,1000000,25.36,25.17,245875,227353,265332,227353,265332,235657,227353,227353,Balanced,51,51,,,,,,Balanced,Balanced,51,3,3,3,,,,,,,,
116036,/team/116036/fleury-91-w/230008,23,8,2022-12-17,Fleury 91 W,2218,Feminine Division 1,1,18,France,77,74,79,77,94303,469,116035,3,2,,1000000,24.73,25.04,241548,241548,241548,264971,241548,227351,241548,227351,Balanced,51,41,,,,,,Long Ball,Direct Passing,61,3,3,3,,,,,,,,
113984,/team/113984/scotland-w/230008,23,8,2022-12-17,Scotland W,2136,World Cup Women,,42,Scotland,76,76,77,75,37296295,Stadion Olympik,113002,2,,,,27.45,27.74,245875,245879,245879,245879,245879,245885,245882,245879,Balanced,61,41,,,,,,Balanced,Balanced,71,3,3,3,,,,,,,,
116014,/team/116014/west-ham-w/230008,23,8,2022-12-17,West Ham W,2216,Women's Super League,1,14,England,76,76,76,77,37554044,London Stadium,116011,3,2,,1000000,27.64,24.05,265300,227348,,227348,,265300,245889,245889,Balanced,51,51,,,,,,Balanced,Balanced,51,3,3,3,,,,,,,,
113010,/team/113010/mexico-w/230008,23,8,2022-12-17,Mexico W,2136,World Cup Women,,83,Mexico,75,77,74,73,37430277,Stadion Olympik,113009,3,,,,26.36,24.7,227466,227466,227466,227452,227466,227452,227466,227466,Pressure On Heavy Touch,61,71,,,,,,Balanced,Balanced,61,4,3,3,,,,,,,,
113394,/team/113394/belgium-w/230008,23,8,2022-12-17,Belgium W,2136,World Cup Women,,7,Belgium,75,77,76,73,37350128,Town Park,113011,1,,,,27.36,25.26,261781,261785,261785,261781,261785,261781,261781,261781,Balanced,51,51,,,,,,Fast Build Up,Forward Runs,61,4,3,3,,,,,,,,
116016,/team/116016/everton-w/230008,23,8,2022-12-17,Everton W,2216,Women's Super League,1,14,England,75,78,76,74,37265116,Goodison Park,116343,3,2,,1000000,24.64,24.05,246968,263966,265334,263966,245443,263966,245443,271347,Balanced,61,61,,,,,,Fast Build Up,Forward Runs,61,3,3,3,,,,,,,,
116018,/team/116018/reading-w/230008,23,8,2022-12-17,Reading W,2216,Women's Super League,1,14,England,75,76,74,75,32431137,Molton Road (Sheldon Stadium),116014,3,2,,1000000,25.91,26.57,265347,265352,265352,265348,265352,227251,265348,265352,Balanced,41,41,,,,,,Long Ball,Direct Passing,51,3,3,3,,,,,,,,
116040,/team/116040/stade-de-reims-w/230008,23,8,2022-12-17,Stade de Reims W,2218,Feminine Division 1,1,18,France,75,74,76,74,37296301,468,116037,3,2,,1000000,21.82,20.52,265897,265901,265901,265901,265901,265901,265901,265901,Pressure On Heavy Touch,51,51,,,,,,Balanced,Balanced,51,5,3,3,,,,,,,,
116428,/team/116428/iceland-w/230008,23,8,2022-12-17,Iceland W,2136,World Cup Women,,24,Iceland,75,74,76,73,37265250,Euro Arena,113007,1,,,,26.09,25.7,241844,269664,264886,269663,269664,241844,269663,269664,Balanced,51,51,,,,,,Long Ball,Direct Passing,51,3,3,3,,,,,,,,
113001,/team/113001/china-w/230008,23,8,2022-12-17,China W,2136,World Cup Women,,155,China PR,74,79,74,74,37614418,Stadion Olympik,113002,5,,,,27.18,27.0,226917,226917,226917,226917,226917,226360,226917,226932,Balanced,41,51,,,,,,Balanced,Balanced,61,3,3,3,,,,,,,,
113996,/team/113996/argentina-w/230008,23,8,2022-12-17,Argentina W,2136,World Cup Women,,52,Argentina,74,76,73,73,37612238,El Monumento (Estadio Latino),112999,2,,,,28.09,27.83,246355,269679,246357,246359,269679,246367,246359,269679,Press After Possession Loss,41,61,,,,,,Fast Build Up,Forward Runs,61,3,3,3,,,,,,,,
116013,/team/116013/brighton-hove-albion-w/230008,23,8,2022-12-17,Brighton & Hove Albion W,2216,Women's Super League,1,14,England,74,75,74,76,,The Amex Stadium,116014,3,2,,1000000,26.36,24.1,265296,265217,265336,265217,247477,265283,247477,265217,Balanced,51,41,,,,,,Balanced,Balanced,41,3,3,3,,,,,,,,
116038,/team/116038/bordeaux-w/230008,23,8,2022-12-17,Bordeaux W,2218,Feminine Division 1,1,18,France,74,73,75,74,19282261,Town Park,116041,3,2,,1000000,24.64,23.1,265855,265861,265861,265860,265861,267673,265860,265861,Pressure On Heavy Touch,51,61,,,,,,Balanced,Balanced,51,3,3,3,,,,,,,,
116039,/team/116039/dijon-w/230008,23,8,2022-12-17,Dijon W,2218,Feminine Division 1,1,18,France,74,73,74,74,37578659,468,116040,3,2,,1000000,24.91,24.75,265875,265878,265878,265878,265878,265877,265878,265878,Balanced,51,51,,,,,,Fast Build Up,Forward Runs,51,4,3,3,,,,,,,,
116042,/team/116042/guingamp-w/230008,23,8,2022-12-17,Guingamp W,2218,Feminine Division 1,1,18,France,74,76,73,74,94451,469,116041,3,2,,1000000,23.91,22.6,267661,267661,267661,267661,267661,231349,267661,267661,Balanced,51,51,,,,,,Fast Build Up,Forward Runs,51,3,3,3,,,,,,,,
115682,/team/115682/portugal-w/230008,23,8,2022-12-17,Portugal W,2136,World Cup Women,,38,Portugal,73,74,73,73,35279766,Waldstadion (Fussballstadion),113012,1,,,,26.73,26.26,261830,261837,261833,261837,261837,261837,261837,261837,Balanced,51,61,,,,,,Balanced,Balanced,61,4,3,3,,,,,,,,
116020,/team/116020/leicester-city-w/230008,23,8,2022-12-17,Leicester City W,2216,Women's Super League,1,14,England,73,74,73,72,37342910,King Power Stadium,116015,3,2,,1000000,25.55,24.52,265281,265225,265225,265225,265225,265225,267501,265225,Balanced,51,51,,,,,,Long Ball,Direct Passing,41,3,3,3,,,,,,,,
116343,/team/116343/liverpool-w/230008,23,8,2022-12-17,Liverpool W,2216,Women's Super League,1,14,England,73,76,74,72,32431158,Anfield,116016,3,2,,1000000,28.55,26.35,266913,266916,231088,242784,266916,226350,242784,266916,Pressure On Heavy Touch,51,51,,,,,,Fast Build Up,Forward Runs,51,3,3,3,,,,,,,,
116416,/team/116416/le-havre-w/230008,23,8,2022-12-17,Le Havre W,2218,Feminine Division 1,1,18,France,73,75,72,72,37615657,Waldstadion (Fussballstadion),116042,3,2,,1000000,25.91,25.5,269208,270049,270049,270049,270049,269208,270049,270049,Balanced,51,51,,,,,,Balanced,Balanced,51,3,3,3,,,,,,,,
116041,/team/116041/soyaux-w/230008,23,8,2022-12-17,Soyaux W,2218,Feminine Division 1,1,18,France,71,71,72,69,37667852,468,116038,3,2,,1000000,24.45,24.67,265924,265915,265915,265915,265915,265915,265915,265915,Pressure On Heavy Touch,51,41,,,,,,Long Ball,Direct Passing,51,4,3,3,,,,,,,,
116386,/team/116386/rodez-w/230008,23,8,2022-12-17,Rodez W,2218,Feminine Division 1,1,18,France,70,72,70,69,37617776,Molton Road (Sheldon Stadium),116416,3,2,,1000000,24.91,23.8,268649,268659,268659,268659,268659,268649,265887,268659,Balanced,51,51,,,,,,Long Ball,Direct Passing,51,4,3,3,,,,,,,,
