player_id,player_url,fifa_version,fifa_update,fifa_update_date,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,league_level,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url
226302,/player/226302/alexandra-popp/230002,23,2,2022-09-26,A. Popp,Alexandra Popp,"ST, LM",88,88,,,31,1991-04-06,174,65,,,,,,,,,,,21,Germany,113004,ST,11,Left,5,3,4,High/High,Normal (170-185),Yes,,"#Aerial Threat, #Distance Shooter, #Clinical Finisher, #Complete Forward","Injury Prone, Leadership, Power Header, Outside Foot Shot, Team Player",79,89,78,83,55,82,74,89,92,87,89,84,73,73,67,86,80,79,71,89,70,89,89,80,82,87,84,59,91,79,86,81,45,52,48,12,14,13,7,14,,88,88,88,84,86,86,86,84,84+3,84+3,84+3,83+3,80+3,80+3,80+3,83+3,71+3,70+3,70+3,70+3,71+3,69+3,67+3,67+3,67+3,69+3,20+3,https://cdn.sofifa.net/players/226/302/23_120.png
227190,/player/227190/irene-paredes-hernandez/230002,23,2,2022-09-26,Irene Paredes,Irene Paredes Hernández,CB,88,88,,,30,1991-07-04,177,62,,,,,,,,,,,45,Spain,113012,RCB,4,Right,3,2,4,Medium/High,Lean (170-185),Yes,,"#Tackling, #Tactician ",Power Header,75,54,68,70,90,84,59,51,88,84,60,57,69,74,62,85,75,75,68,92,65,60,79,85,82,55,87,92,39,51,70,75,93,87,87,15,12,13,14,16,,67+3,67+3,67+3,66,66,66,66,66,67+3,67+3,67+3,68+3,72+3,72+3,72+3,68+3,82+3,84+3,84+3,84+3,82+3,84+3,88,88,88,84+3,23+3,https://cdn.sofifa.net/players/227/190/23_120.png
227192,/player/227192/jennifer-hermoso-fuentes/230002,23,2,2022-09-26,Jenni Hermoso,Jennifer Hermoso Fuentes,"ST, CF, CM",88,88,,,32,1990-05-09,174,59,,,,,,,,,,,45,Spain,113012,CF,23,Left,4,4,4,Medium/Medium,Lean (170-185),Yes,,"#Poacher, #Distance Shooter, #Clinical Finisher","Finesse Shot, Flair, Outside Foot Shot",78,90,82,87,47,71,72,93,78,91,80,89,74,80,82,90,77,78,75,93,64,87,72,75,76,87,54,45,96,81,90,91,43,42,45,13,13,16,13,14,,88,88,88,87,89-1,89-1,89-1,87,88,88,88,86+2,83+3,83+3,83+3,86+2,68+3,67+3,67+3,67+3,68+3,65+3,59+3,59+3,59+3,65+3,22+3,https://cdn.sofifa.net/players/227/192/23_120.png
227318,/player/227318/amandine-henry/230002,23,2,2022-09-26,A. Henry,Amandine Chantal Henry,"CDM, CM",88,88,61000000,2000,32,1989-09-28,171,64,2218,Feminine Division 1,1,116033,Lyon W,LCM,6,,2007-07-01,2023,18,France,,,,Right,3,4,5,High/High,Normal (170-185),Yes,125100000,"#Distance Shooter, #Tactician ","Leadership, Long Shot Taker (AI), Outside Foot Shot",72,81,79,78,86,86,63,78,72,88,64,77,68,67,85,84,75,69,68,91,61,90,84,84,85,87,90,87,68,81,75,83,89,89,84,11,13,15,14,7,,79+3,79+3,79+3,78,80,80,80,78,81+3,81+3,81+3,78+3,84+3,84+3,84+3,78+3,82+3,87+1,87+1,87+1,82+3,82+3,86+2,86+2,86+2,82+3,20+3,https://cdn.sofifa.net/players/227/318/23_120.png
227361,/player/227361/kadidiatou-diani/230002,23,2,2022-09-26,K. Diani,Kadidiatou Diani,RW,88,88,97500000,3000,27,1995-04-01,168,64,2218,Feminine Division 1,1,116034,Paris SG W,RW,11,,2017-07-13,2023,18,France,113003,RW,11,Right,4,4,3,High/High,Normal (170-),Yes,199900000,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Solid Player, Speed Dribbler (AI), Outside Foot Shot",90,83,82,88,53,74,84,87,70,87,74,88,72,65,74,90,89,91,89,87,85,76,53,81,82,82,52,55,91,85,71,84,42,59,51,15,7,7,15,13,,85+3,85+3,85+3,88,87,87,87,88,87+1,87+1,87+1,87+1,82+3,82+3,82+3,87+1,73+3,70+3,70+3,70+3,73+3,71+3,63+3,63+3,63+3,71+3,20+3,https://cdn.sofifa.net/players/227/361/23_120.png
227776,/player/227776/sandra-panos-garcia/230002,23,2,2022-09-26,Sandra Paños,Sandra Paños García-Villamil,GK,88,88,,,29,1992-11-04,169,65,,,,,,,,,,,45,Spain,113012,GK,13,Right,3,1,2,Medium/Medium,Normal (170-),No,,,Leadership,,,,,,,16,11,20,23,19,11,22,25,18,20,44,50,54,84,70,65,72,45,64,17,19,19,14,34,27,56,22,18,14,87,84,87,87,91,46,31+2,31+2,31+2,27,29,29,29,27,27+2,27+2,27+2,28+2,27+2,27+2,27+2,28+2,29+2,28+2,28+2,28+2,29+2,29+2,29+2,29+2,29+2,29+2,87+1,https://cdn.sofifa.net/players/227/776/23_120.png
236479,/player/236479/maria-pilar-leon-cebrian/230002,23,2,2022-09-26,Mapi León,María Pilar León Cebrián,"CB, LB",88,91,,,27,1995-06-13,169,61,,,,,,,,,,,45,Spain,113012,LCB,16,Left,3,2,3,High/Medium,Normal (170-),No,,"#Tackling, #Tactician ","Dives Into Tackles (AI), Long Passer (AI)",78,57,80,77,91,78,86,61,87,90,29,68,63,75,90,91,77,79,75,94,75,51,76,75,75,59,88,91,59,56,64,70,94,90,90,12,8,11,14,12,,71+3,71+3,71+3,76,73,73,73,76,75+3,75+3,75+3,78+3,80+3,80+3,80+3,78+3,87+3,88+3,88+3,88+3,87+3,88+3,88+3,88+3,88+3,88+3,21+3,https://cdn.sofifa.net/players/236/479/23_120.png
245802,/player/245802/beth-mead/230002,23,2,2022-09-26,B. Mead,Bethany Jane Mead,"RW, LW, RM",88,88,97500000,3000,27,1995-05-09,163,58,2216,Women's Super League,1,116009,Arsenal W,RAM,9,,2017-01-01,2023,14,England,113002,RM,7,Right,4,5,4,High/High,Normal (170-),Yes,199900000,"#Dribbler, #Crosser, #Clinical Finisher, #Complete Forward","Early Crosser, Long Shot Taker (AI), Outside Foot Shot",81,87,86,87,68,73,92,92,68,85,73,91,81,83,79,89,80,81,67,90,84,86,74,83,84,85,31,77,93,90,68,84,61,69,68,11,15,17,16,10,,86+2,86+2,86+2,88,88,88,88,88,88,88,88,88,86+2,86+2,86+2,88,80+3,76+3,76+3,76+3,80+3,78+3,71+3,71+3,71+3,78+3,22+3,https://cdn.sofifa.net/players/245/802/23_120.png
245872,/player/245872/kim-little/230002,23,2,2022-09-26,K. Little,Kim Alison Little,"CM, CAM, CDM",88,88,72000000,2000,32,1990-06-29,162,57,2216,Women's Super League,1,116009,Arsenal W,RDM,10,,2008-07-01,2023,42,Scotland,,,,Right,4,4,4,High/High,Normal (170-),Yes,147600000,"#Dribbler, #Playmaker, #Engine, #Complete Midfielder","Leadership, Flair, Playmaker (AI), Outside Foot Shot, Team Player",79,82,85,90,65,67,84,78,56,89,82,90,77,60,81,92,82,77,85,89,88,85,75,94,53,84,65,84,91,88,80,85,38,79,77,12,5,6,10,6,,81+3,81+3,81+3,87,87,87,87,87,88,88,88,87+1,88,88,88,87+1,82+3,79+3,79+3,79+3,82+3,79+3,69+3,69+3,69+3,79+3,17+3,https://cdn.sofifa.net/players/245/872/23_120.png
226303,/player/226303/almuth-schult/230002,23,2,2022-09-26,A. Schult,Almuth Schult,GK,87,87,,,31,1991-02-09,180,71,,,,,,,,,,,21,Germany,113004,SUB,12,Right,2,1,3,Medium/Medium,Stocky (170-185),Yes,,,Saves with Feet,,,,,,,11,11,11,25,13,9,14,25,24,23,35,42,35,80,40,62,61,30,78,11,35,13,13,34,20,45,17,10,11,87,84,82,90,89,38,30+3,30+3,30+3,24,27,27,27,24,26+3,26+3,26+3,26+3,26+3,26+3,26+3,26+3,24+3,27+3,27+3,27+3,24+3,24+3,27+3,27+3,27+3,24+3,86+1,https://cdn.sofifa.net/players/226/303/23_120.png
227392,/player/227392/ashley-lawrence/230002,23,2,2022-09-26,A. Lawrence,Ashley Elizabeth Marie Lawrence,RB,87,88,83500000,2000,27,1995-06-11,164,60,2218,Feminine Division 1,1,116034,Paris SG W,RB,12,,2017-01-31,2023,70,Canada,113000,LB,10,Right,4,3,3,High/Medium,Normal (170-),Yes,177400000,,Speed Dribbler (AI),88,70,83,83,84,78,86,62,73,86,66,81,78,70,81,85,88,88,85,87,87,79,77,88,72,76,80,84,73,82,75,83,84,87,83,14,10,11,9,14,,76+3,76+3,76+3,81,80,80,80,81,81+3,81+3,81+3,83+3,83+3,83+3,83+3,83+3,86+2,84+3,84+3,84+3,86+2,85+3,82+3,82+3,82+3,85+3,20+3,https://cdn.sofifa.net/players/227/392/23_120.png
233748,/player/233748/lieke-martens/230002,23,2,2022-09-26,L. Martens,Elisabeth Petronella Lieke Martens,"LW, ST",87,87,78000000,2000,29,1992-12-16,170,66,2218,Feminine Division 1,1,116034,Paris SG W,LW,22,,2022-07-01,2025,34,Netherlands,113011,LW,11,Right,4,5,5,Medium/Low,Normal (170-),Yes,159900000,"#Dribbler, #Crosser, #Acrobat, #Clinical Finisher, #Complete Forward","Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",81,86,86,89,44,74,89,88,57,87,78,91,90,80,80,90,80,82,86,86,74,84,69,74,77,87,66,45,87,85,79,87,47,39,34,7,9,13,16,16,,83+3,83+3,83+3,87,87,87,87,87,87,87,87,86+1,81+3,81+3,81+3,86+1,68+3,66+3,66+3,66+3,68+3,63+3,56+3,56+3,56+3,63+3,20+3,https://cdn.sofifa.net/players/233/748/23_120.png
233837,/player/233837/lina-magull/230002,23,2,2022-09-26,L. Magull,Lina Maria Magull,"CM, CAM",87,87,,,27,1994-08-15,166,54,,,,,,,,,,,21,Germany,113004,LCM,20,Right,3,5,4,High/Medium,Lean (170-),Yes,,"#Dribbler, #Playmaker, #Acrobat, #Complete Midfielder","Leadership, Team Player",86,79,87,89,59,67,79,84,60,93,76,88,78,78,85,93,88,84,92,89,89,70,64,85,60,79,65,76,85,90,76,75,45,66,48,8,13,15,7,15,,81+3,81+3,81+3,87,87,87,87,87,89-2,89-2,89-2,87,87,87,87,87,77+3,76+3,76+3,76+3,77+3,73+3,65+3,65+3,65+3,73+3,20+3,https://cdn.sofifa.net/players/233/837/23_120.png
237197,/player/237197/grace-geyoro/230002,23,2,2022-09-26,G. Geyoro,Onema Grace Geyoro,"CM, CDM",87,91,113500000,2000,24,1997-07-02,166,60,2218,Feminine Division 1,1,116034,Paris SG W,RCM,8,,2014-07-01,2024,18,France,113003,LCM,8,Right,3,3,3,High/High,Normal (170-),Yes,241200000,"#Engine, #Tactician ","Solid Player, Leadership, Playmaker (AI), Team Player",78,70,81,83,83,78,69,73,64,89,51,82,68,48,89,88,82,74,73,88,79,69,58,93,75,71,71,87,82,85,52,79,81,90,83,13,16,16,14,11,,77+3,77+3,77+3,81,81,81,81,81,83+3,83+3,83+3,83+3,87+3,87+3,87+3,83+3,84+3,86+3,86+3,86+3,84+3,83+3,81+3,81+3,81+3,83+3,22+3,https://cdn.sofifa.net/players/237/197/23_120.png
238257,/player/238257/millie-bright/230002,23,2,2022-09-26,M. Bright,Millie Bright,CB,87,88,75500000,2000,28,1993-08-21,178,76,2216,Women's Super League,1,116010,Chelsea W,CB,4,,2015-01-01,2026,14,England,113002,RCB,6,Right,4,2,3,Medium/High,Stocky (170-185),Yes,160400000,"#Tactician, #Strength","Solid Player, Dives Into Tackles (AI), Leadership, Long Passer (AI), Team Player",59,49,71,65,87,88,50,45,89,86,35,59,51,60,89,83,51,65,34,89,37,63,90,78,92,46,91,87,38,59,59,86,90,85,82,11,12,12,8,16,,64+3,64+3,64+3,61,64,64,64,61,66+3,66+3,66+3,66+3,75+3,75+3,75+3,66+3,77+3,85+3,85+3,85+3,77+3,79+3,87+1,87+1,87+1,79+3,20+3,https://cdn.sofifa.net/players/238/257/23_120.png
257008,/player/257008/lauren-hemp/230002,23,2,2022-09-26,L. Hemp,Lauren May Hemp,LW,87,93,128000000,2000,21,2000-08-07,164,59,2216,Women's Super League,1,116017,Manchester City W,LW,11,,2018-06-01,2024,14,England,113002,LM,11,Left,3,4,4,High/High,Normal (170-),Yes,294400000,"#Speedster, #Dribbler, #Engine, #Crosser, #Acrobat","Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",92,80,85,88,60,68,94,85,69,85,69,92,86,81,76,85,92,92,91,88,90,83,77,88,60,71,59,71,83,84,68,71,56,58,50,7,6,11,12,8,,82+3,82+3,82+3,87,86,86,86,87,85+3,85+3,85+3,88+3,82+3,82+3,82+3,88+3,78+3,73+3,73+3,73+3,78+3,75+3,65+3,65+3,65+3,75+3,17+3,https://cdn.sofifa.net/players/257/008/23_120.png
226327,/player/226327/christen-press/230002,23,2,2022-09-26,C. Press,Christen Annemarie Press,"ST, LW",86,86,,,33,1988-12-29,170,58,,,,,,,,,,,95,United States,113009,SUB,7,Right,3,4,4,High/Low,Lean (170-),Yes,,"#Acrobat, #Clinical Finisher","Injury Prone, Playmaker (AI), Outside Foot Shot",85,87,77,87,45,73,75,88,84,86,80,88,78,62,71,90,84,85,88,84,74,86,69,81,73,87,62,43,87,71,82,80,42,44,26,15,14,9,11,11,,86,86,86,85,86,86,86,85,84+2,84+2,84+2,84+2,78+3,78+3,78+3,84+2,66+3,64+3,64+3,64+3,66+3,63+3,57+3,57+3,57+3,63+3,20+3,https://cdn.sofifa.net/players/226/327/23_120.png
227255,/player/227255/fran-kirby/230002,23,2,2022-09-26,F. Kirby,Francesca Kirby,"ST, CAM, RW",86,86,68000000,2000,29,1993-06-29,157,52,2216,Women's Super League,1,116010,Chelsea W,LW,14,,2015-07-01,2023,14,England,113002,CAM,14,Right,3,4,4,High/Medium,Normal (170-),Yes,139400000,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Flair, Technical Dribbler (AI)",90,88,71,90,45,56,63,89,72,85,88,91,48,65,62,90,91,89,91,89,93,87,72,67,54,89,45,35,90,69,77,84,45,45,39,13,9,12,16,16,,86,86,86,86,87-1,87-1,87-1,86,85+1,85+1,85+1,83+3,76+3,76+3,76+3,83+3,65+3,61+3,61+3,61+3,65+3,62+3,54+3,54+3,54+3,62+3,22+3,https://cdn.sofifa.net/players/227/255/23_120.png
227323,/player/227323/guro-reiten/230002,23,2,2022-09-26,G. Reiten,Guro Reiten,"LM, CAM, ST",86,86,72500000,2000,27,1994-07-26,167,60,2216,Women's Super League,1,116010,Chelsea W,LM,11,,2019-07-01,2025,36,Norway,113007,LM,11,Left,3,4,3,High/Medium,Normal (170-),Yes,148600000,#Acrobat,Finesse Shot,90,78,83,84,65,63,94,82,60,79,42,81,74,80,78,85,88,91,93,89,89,81,65,92,50,79,58,73,82,85,66,86,60,67,66,16,16,12,11,16,,79+3,79+3,79+3,85,83,83,83,85,83+3,83+3,83+3,85+1,82+3,82+3,82+3,85+1,80+3,74+3,74+3,74+3,80+3,78+3,67+3,67+3,67+3,78+3,23+3,https://cdn.sofifa.net/players/227/323/23_120.png
227327,/player/227327/sara-dabritz/230002,23,2,2022-09-26,S. Däbritz,Sara Ilonka Däbritz,CM,86,87,77500000,2000,27,1995-02-15,171,63,2218,Feminine Division 1,1,116033,Lyon W,RCM,8,,2022-07-01,2025,21,Germany,113004,RCM,13,Left,5,4,3,Medium/Medium,Normal (170-185),Yes,164700000,"#Playmaker, #Acrobat","Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",81,84,85,88,74,73,78,85,49,89,69,90,81,74,86,90,84,79,86,83,67,83,55,82,78,87,53,81,85,88,72,80,77,78,68,13,14,16,11,16,,81+3,81+3,81+3,86,86,86,86,86,87,87,87,86+1,86+1,86+1,86+1,86+1,81+3,81+3,81+3,81+3,81+3,78+3,73+3,73+3,73+3,78+3,21+3,https://cdn.sofifa.net/players/227/327/23_120.png
227337,/player/227337/svenja-huth/230002,23,2,2022-09-26,S. Huth,Svenja Anette Huth,"RM, ST, LM",86,86,,,31,1991-01-25,163,54,,,,,,,,,,,21,Germany,113004,RW,9,Right,5,4,3,Medium/Medium,Lean (170-),No,,"#Dribbler, #Acrobat",Speed Dribbler (AI),86,73,84,86,57,59,86,78,48,87,74,87,78,67,78,83,88,84,90,88,95,70,71,90,49,60,42,71,81,86,77,79,40,65,66,17,10,7,12,10,,76+3,76+3,76+3,84,82,82,82,84,83+3,83+3,83+3,85+1,82+3,82+3,82+3,85+1,78+3,72+3,72+3,72+3,78+3,74+3,61+3,61+3,61+3,74+3,20+3,https://cdn.sofifa.net/players/227/337/23_120.png
227350,/player/227350/amel-majri/230002,23,2,2022-09-26,A. Majri,Amel Majri,"LW, CM",86,86,66500000,2000,29,1993-01-25,164,54,2218,Feminine Division 1,1,116033,Lyon W,LW,7,,2010-07-01,2026,18,France,,,,Left,3,5,3,High/High,Lean (170-),Yes,136300000,"#Dribbler, #Crosser, #Acrobat","Early Crosser, Flair, Outside Foot Shot, Team Player, Technical Dribbler (AI)",82,76,86,88,83,78,92,79,74,89,62,89,89,84,77,89,84,80,88,86,84,77,76,77,78,71,79,84,84,82,73,83,84,85,83,10,16,12,14,10,,81+3,81+3,81+3,86,84,84,84,86,85+1,85+1,85+1,86,84+2,84+2,84+2,86,85+1,84+2,84+2,84+2,85+1,84+2,82+3,82+3,82+3,84+2,21+3,https://cdn.sofifa.net/players/227/350/23_120.png
